date,open,high,low,close,sma_20,upper_bb,lower_bb,rsie
1983-01-03,140.65,141.33,138.2,138.34,,,,
1983-01-04,138.33,141.36,138.08,141.36,,,,100.0
1983-01-05,141.35,142.6,141.15,141.96,,,,100.0
1983-01-06,142.01,145.77,142.01,145.27,,,,100.0
1983-01-07,145.27,146.46,145.15,145.18,,,,98.32565661821768
1983-01-10,145.19,147.25,144.58,146.78,,,,98.75370346149607
1983-01-11,146.79,146.83,145.38,145.78,,,,83.38125276639602
1983-01-12,145.76,148.36,145.76,146.69,,,,85.71594911910015
1983-01-13,146.67,146.94,145.67,145.73,,,,73.19859312040458
1983-01-14,145.72,147.12,145.72,146.65,,,,76.92475550918971
1983-01-17,146.65,147.9,146.64,146.72,,,,77.20300850098262
1983-01-18,146.71,146.74,145.52,146.4,,,,72.58614426376707
1983-01-19,146.4,146.45,144.51,145.27,,,,58.36481044774493
1983-01-20,145.29,146.62,145.29,146.29,,,,65.42097880080908
1983-01-21,146.3,146.3,143.25,143.85,,,,44.571238457519286
1983-01-24,143.84,143.84,139.1,139.97,,,,28.125015115852932
1983-01-25,139.98,141.75,139.98,141.75,,,,39.86969247329315
1983-01-26,141.77,142.16,141.16,141.54,,,,39.00213373096287
1983-01-27,141.54,144.3,141.54,144.27,,,,54.01238990590153
1983-01-28,144.31,145.47,144.25,144.51,144.2155,149.2650960234458,139.16590397655418,55.13235185492081
1983-01-31,144.51,145.3,143.93,145.3,144.5635,148.8024188045513,140.3245811954487,58.93109001749874
1983-02-01,145.29,145.29,142.96,142.96,144.64350000000002,148.68358480890657,140.60341519109346,45.70559126938444
1983-02-02,142.95,143.52,141.9,143.23,144.70700000000002,148.6069870445129,140.80701295548715,47.28077921877683
1983-02-03,143.25,144.43,143.25,144.26,144.6565,148.55194551874024,140.76105448125975,53.250763192497146
1983-02-04,144.26,146.14,144.14,146.14,144.7045,148.6504371510453,140.75856284895468,62.253079034064925
1983-02-07,146.14,147.42,146.14,146.93,144.71200000000002,148.67508014182482,140.7489198581752,65.4764637579608
1983-02-08,146.93,147.21,145.52,145.7,144.708,148.66670047789472,140.74929952210528,56.76767691961856
1983-02-09,145.7,145.83,144.09,145.0,144.62349999999998,148.47475693767626,140.7722430623237,52.20784294758066
1983-02-10,145.04,147.75,145.04,147.5,144.712,148.74726872515453,140.67673127484545,64.0932463198157
1983-02-11,147.51,148.81,147.18,147.65,144.762,148.92125398169074,140.60274601830926,64.70098796976012
1983-02-14,147.71,149.14,147.4,148.93,144.8725,149.3555998439167,140.3894001560833,69.74331310957146
1983-02-15,148.94,149.41,148.13,148.3,144.9675,149.6624104582011,140.2725895417989,64.51003226449697
1983-02-16,148.31,148.66,147.41,147.43,145.07549999999998,149.8973689322709,140.25363106772906,57.620707416570895
1983-02-17,147.43,147.57,143.84,147.44,145.13299999999998,150.0424799810377,140.22352001896226,57.68064746270615
1983-02-18,147.44,148.29,147.21,148.0,145.3405,150.37096916301047,140.3100308369895,61.22435845429465
1983-02-22,148.01,148.11,145.42,145.48,145.61599999999999,149.9654919243515,141.26650807564846,42.67129813321904
1983-02-23,145.47,146.79,145.4,146.79,145.868,149.84220948776365,141.89379051223634,51.48891051490834
1983-02-24,146.8,149.67,146.8,149.6,146.271,150.02588958419184,142.51611041580813,64.86438921761467
1983-02-25,149.6,150.88,149.6,149.74,146.5445,150.47829674641483,142.61070325358517,65.41261027863627
