date,open,high,low,close,sma_20,upper_bb,lower_bb
1983-01-03,140.65,141.33,138.2,138.34,,,
1983-01-04,138.33,141.36,138.08,141.36,,,
1983-01-05,141.35,142.6,141.15,141.96,,,
1983-01-06,142.01,145.77,142.01,145.27,,,
1983-01-07,145.27,146.46,145.15,145.18,,,
1983-01-10,145.19,147.25,144.58,146.78,,,
1983-01-11,146.79,146.83,145.38,145.78,,,
1983-01-12,145.76,148.36,145.76,146.69,,,
1983-01-13,146.67,146.94,145.67,145.73,,,
1983-01-14,145.72,147.12,145.72,146.65,,,
1983-01-17,146.65,147.9,146.64,146.72,,,
1983-01-18,146.71,146.74,145.52,146.4,,,
1983-01-19,146.4,146.45,144.51,145.27,,,
1983-01-20,145.29,146.62,145.29,146.29,,,
1983-01-21,146.3,146.3,143.25,143.85,,,
1983-01-24,143.84,143.84,139.1,139.97,,,
1983-01-25,139.98,141.75,139.98,141.75,,,
1983-01-26,141.77,142.16,141.16,141.54,,,
1983-01-27,141.54,144.3,141.54,144.27,,,
1983-01-28,144.31,145.47,144.25,144.51,144.2155,149.2650960234458,139.16590397655418
1983-01-31,144.51,145.3,143.93,145.3,144.5635,148.8024188045513,140.3245811954487
1983-02-01,145.29,145.29,142.96,142.96,144.64350000000002,148.68358480890657,140.60341519109346
1983-02-02,142.95,143.52,141.9,143.23,144.70700000000002,148.6069870445129,140.80701295548715
1983-02-03,143.25,144.43,143.25,144.26,144.6565,148.55194551874024,140.76105448125975
1983-02-04,144.26,146.14,144.14,146.14,144.7045,148.6504371510453,140.75856284895468
1983-02-07,146.14,147.42,146.14,146.93,144.71200000000002,148.67508014182482,140.7489198581752
1983-02-08,146.93,147.21,145.52,145.7,144.708,148.66670047789472,140.74929952210528
1983-02-09,145.7,145.83,144.09,145.0,144.62349999999998,148.47475693767626,140.7722430623237
1983-02-10,145.04,147.75,145.04,147.5,144.712,148.74726872515453,140.67673127484545
1983-02-11,147.51,148.81,147.18,147.65,144.762,148.92125398169074,140.60274601830926
1983-02-14,147.71,149.14,147.4,148.93,144.8725,149.3555998439167,140.3894001560833
1983-02-15,148.94,149.41,148.13,148.3,144.9675,149.6624104582011,140.2725895417989
1983-02-16,148.31,148.66,147.41,147.43,145.07549999999998,149.8973689322709,140.25363106772906
1983-02-17,147.43,147.57,143.84,147.44,145.13299999999998,150.0424799810377,140.22352001896226
1983-02-18,147.44,148.29,147.21,148.0,145.3405,150.37096916301047,140.3100308369895
1983-02-22,148.01,148.11,145.42,145.48,145.61599999999999,149.9654919243515,141.26650807564846
1983-02-23,145.47,146.79,145.4,146.79,145.868,149.84220948776365,141.89379051223634
1983-02-24,146.8,149.67,146.8,149.6,146.271,150.02588958419184,142.51611041580813
1983-02-25,149.6,150.88,149.6,149.74,146.5445,150.47829674641483,142.61070325358517
1983-02-28,149.74,149.74,147.81,148.06,146.722,150.58906797675456,142.85493202324545
1983-03-01,148.07,150.88,148.07,150.88,147.001,151.2248067140783,142.7771932859217
1983-03-02,150.91,152.63,150.91,152.3,147.468,151.87207753648437,143.0639224635156
1983-03-03,152.31,154.16,152.31,153.48,147.98049999999998,152.6834866210624,143.27751337893756
1983-03-04,153.47,153.67,152.53,153.67,148.451,153.45966155038576,143.44233844961423
1983-03-07,153.67,154.0,152.65,153.67,148.82750000000001,154.2219215825724,143.43307841742762
1983-03-08,153.63,153.63,151.26,151.26,149.044,154.46526572907652,143.6227342709235
1983-03-09,151.25,152.87,150.84,152.87,149.4025,154.84093195280212,143.96406804719788
1983-03-10,152.87,154.01,151.75,151.8,149.7425,154.86299699479258,144.62200300520743
1983-03-11,151.75,151.75,150.65,151.24,149.92950000000002,154.97783260644132,144.8811673935587
1983-03-14,151.28,151.3,150.24,150.83,150.0885,155.03380197045058,145.14319802954944
1983-03-15,150.83,151.37,150.4,151.37,150.2105,155.1558539067647,145.2651460932353
1983-03-16,151.36,151.62,149.78,149.81,150.286,155.15404575509302,145.41795424490698
1983-03-17,149.8,149.8,149.12,149.59,150.394,155.08798898928978,145.70001101071023
1983-03-18,149.59,150.29,149.56,149.9,150.517,155.00967520819282,146.02432479180717
1983-03-21,149.82,151.2,149.32,151.19,150.6765,155.01684815484398,146.33615184515602
1983-03-22,151.21,151.59,150.6,150.66,150.9355,154.52315412285762,147.34784587714236
