,accuracy,val_accuracy,auc,val_auc,f1_score,val_f1_score
0,0.7597470879554749,0.8438818454742432,0.7622478008270264,0.9680008888244629,0.855787456035614,0.9023746848106384
1,0.9293993711471558,0.9620253443717957,0.9778364300727844,0.9906082153320312,0.9522110819816589,0.9742119908332825
2,0.9683877825737,0.9767932295799255,0.9926674365997314,0.9909213185310364,0.9782134890556335,0.9840347766876221
3,0.9589040875434875,0.9725738167762756,0.9923587441444397,0.9924530982971191,0.9717596173286438,0.980966329574585
4,0.9736564755439758,0.9746835231781006,0.9920666813850403,0.9932245016098022,0.9818577766418457,0.982758641242981
5,0.9789251685142517,0.9852320551872253,0.995518684387207,0.9912119507789612,0.9854651093482971,0.9898108243942261
6,0.98103266954422,0.9852320551872253,0.9948760867118835,0.9911783337593079,0.9869281053543091,0.9897810220718384
7,0.9757639765739441,0.9831223487854004,0.9962037205696106,0.991491436958313,0.9832970499992371,0.9884057641029358
8,0.9794520735740662,0.9662446975708008,0.9957807064056396,0.9933810234069824,0.9858439564704895,0.977142870426178
9,0.9805058240890503,0.947257399559021,0.9944837093353271,0.9904851913452148,0.9865893125534058,0.9647390246391296
