,accuracy,val_accuracy,auc,val_auc,f1_score,val_f1_score
0,0.5195530652999878,0.516853928565979,0.516951322555542,0.8972446918487549,0.5351350903511047,0.6814814805984497
1,0.6508380174636841,0.8426966071128845,0.7008973360061646,0.9213852286338806,0.6736292243003845,0.8494623303413391
2,0.7849162220954895,0.8483145833015442,0.8523229956626892,0.9224594831466675,0.79076087474823,0.8571429252624512
3,0.8030726313591003,0.8483145833015442,0.8879594802856445,0.9279575943946838,0.8112449049949646,0.8491619825363159
4,0.8100558519363403,0.8483145833015442,0.8998305201530457,0.926251232624054,0.8142076134681702,0.8508286476135254
5,0.8617318272590637,0.8764045238494873,0.9352131485939026,0.9511501789093018,0.8638239502906799,0.8854166865348816
6,0.8812848925590515,0.882022500038147,0.9423279166221619,0.9629676342010498,0.8830811977386475,0.8839778900146484
7,0.8729050159454346,0.9044944047927856,0.9522699117660522,0.9684023857116699,0.875852644443512,0.9071038365364075
8,0.8826815485954285,0.8483145833015442,0.9575728178024292,0.9707406759262085,0.8880000114440918,0.8301886916160583
9,0.8938547372817993,0.9213483333587646,0.9629420638084412,0.9742163419723511,0.8958904147148132,0.9255319237709045
10,0.8966480493545532,0.9213483333587646,0.960189163684845,0.9776921272277832,0.8997290134429932,0.9239130616188049
11,0.9148044586181641,0.9269663095474243,0.9693422913551331,0.9814838171005249,0.916552722454071,0.9257143139839172
12,0.9413408041000366,0.9213483333587646,0.9845559000968933,0.9879930019378662,0.943396270275116,0.9186046123504639
13,0.9343575239181519,0.9382022619247437,0.9812015891075134,0.9869186878204346,0.9357045292854309,0.9385474920272827
14,0.9329608678817749,0.9269663095474243,0.9797723889350891,0.9870449900627136,0.9347825646400452,0.9326424598693848
