,accuracy,val_accuracy,auc,val_auc,f1_score,val_f1_score
0,0.9295210838317871,0.932851254940033,0.7104164361953735,0.8597027063369751,0.9634538292884827,0.9652591943740845
1,0.9326190948486328,0.9354338645935059,0.8743126392364502,0.8749297261238098,0.9651022553443909,0.9661338925361633
2,0.9350716471672058,0.9359503984451294,0.896051824092865,0.8842980265617371,0.9660524725914001,0.9667203426361084
3,0.9324899911880493,0.9359503984451294,0.9043257236480713,0.9100541472434998,0.9647265076637268,0.9664502143859863
4,0.9368788003921509,0.9349173307418823,0.917283296585083,0.8973230123519897,0.966899037361145,0.966274082660675
5,0.9368788003921509,0.9375,0.9162322282791138,0.9090978503227234,0.9668227434158325,0.9674293398857117
6,0.9384278059005737,0.942148745059967,0.925007164478302,0.8902696371078491,0.9676675796508789,0.9697461128234863
7,0.9390732049942017,0.9369834661483765,0.9322364926338196,0.9129568338394165,0.9679216742515564,0.9667574763298035
8,0.9401058554649353,0.9344007968902588,0.92905193567276,0.9035352468490601,0.9684697389602661,0.9654045104980469
9,0.9401058554649353,0.9380165338516235,0.9338995218276978,0.9122114181518555,0.9684267640113831,0.9675850868225098
10,0.938685953617096,0.9390496015548706,0.9301095008850098,0.895182728767395,0.9676716327667236,0.9678299427032471
11,0.9407512545585632,0.932851254940033,0.933881938457489,0.9040782451629639,0.9688876867294312,0.9643835425376892
12,0.9390732049942017,0.9359503984451294,0.9374441504478455,0.9163600206375122,0.967856228351593,0.9660273790359497
13,0.9412676095962524,0.9359503984451294,0.9425041079521179,0.9171309471130371,0.9689863920211792,0.9661756157875061
14,0.9421711564064026,0.9359503984451294,0.945280909538269,0.9158424735069275,0.9694864153862,0.9664320945739746
15,0.9424293041229248,0.9292355179786682,0.9497334957122803,0.9160192608833313,0.9695480465888977,0.9622485637664795
16,0.9434620141983032,0.9364669322967529,0.9499297142028809,0.9058565497398376,0.9701268672943115,0.9664392471313477
17,0.9464308619499207,0.93388432264328,0.9548463821411133,0.9103756546974182,0.971631646156311,0.964873731136322
18,0.9459145665168762,0.9333677887916565,0.9523554444313049,0.9124988913536072,0.971397340297699,0.9645896553993225
19,0.94785076379776,0.9344007968902588,0.9582958817481995,0.910908043384552,0.9723665714263916,0.9652530550956726
20,0.9509487748146057,0.9344007968902588,0.9620009064674377,0.9126991033554077,0.9740046262741089,0.9652530550956726
21,0.9514650702476501,0.9292355179786682,0.9584960341453552,0.8996251821517944,0.974288821220398,0.9625376462936401
22,0.9496579170227051,0.9333677887916565,0.9604206085205078,0.9052517414093018,0.9733278751373291,0.964570164680481
23,0.9515941739082336,0.9302685856819153,0.9677339792251587,0.9049940705299377,0.9742745757102966,0.9628406167030334
24,0.9539176225662231,0.9333677887916565,0.9683666825294495,0.8835207223892212,0.9755127429962158,0.9648597240447998
25,0.9550793766975403,0.9220041036605835,0.9717397689819336,0.8921862840652466,0.9761120080947876,0.9585050344467163
26,0.9564992785453796,0.9282024502754211,0.9712044596672058,0.8975061178207397,0.9768623113632202,0.9618026614189148
27,0.9593390822410583,0.9302685856819153,0.9749061465263367,0.8834845423698425,0.9783490300178528,0.9630441069602966
28,0.9628243446350098,0.9245867729187012,0.9757419228553772,0.8852649927139282,0.9801844358444214,0.9598239064216614
29,0.9621788859367371,0.9256198406219482,0.9770753383636475,0.8805562257766724,0.9798334240913391,0.9603087306022644
30,0.9626952409744263,0.9333677887916565,0.9800769090652466,0.8763757944107056,0.9801115393638611,0.9647637009620667
31,0.9626952409744263,0.9235537052154541,0.9804017543792725,0.8770679235458374,0.9801115393638611,0.9592735767364502
32,0.9659222960472107,0.9106404781341553,0.9799896478652954,0.8876969814300537,0.981823205947876,0.9515541791915894
33,0.9656641483306885,0.9276859760284424,0.9834186434745789,0.8458450436592102,0.981665313243866,0.9617486000061035
34,0.9676003456115723,0.9230371713638306,0.9841803312301636,0.8746975660324097,0.9827241897583008,0.9589871168136597
35,0.9708274006843567,0.9189049601554871,0.9859172701835632,0.8614277243614197,0.9844266176223755,0.9567135572433472
36,0.9695366024971008,0.9235537052154541,0.9869572520256042,0.8621240854263306,0.9837151169776917,0.9594075679779053
37,0.9741835594177246,0.9147727489471436,0.9877020716667175,0.8691413402557373,0.9862068891525269,0.9542809724807739
38,0.9765070080757141,0.9292355179786682,0.9893503785133362,0.8381527662277222,0.9874482750892639,0.9624965786933899
39,0.9710856080055237,0.932851254940033,0.9874626398086548,0.8411044478416443,0.9845409989356995,0.9645776748657227
40,0.974699854850769,0.9209710955619812,0.9882489442825317,0.8602479100227356,0.9864696860313416,0.9578860402107239
